NAME,SAEPOVRTALL_RATE,Location,Latitude,Longitude
Autauga County,14.9,"32.579182,-86.499655",32.579182,-86.499655
Baldwin County,13.4,"30.601074,-87.776333",30.601074,-87.776333
Barbour County,29.5,"31.81729,-85.354965",31.81729,-85.354965
Bibb County,22.2,"32.95628,-87.142289",32.95628,-87.142289
Blount County,14.9,"34.014515,-86.499655",34.014515,-86.499655
Bullock County,32.8,"32.057354,-85.725637",32.057354,-85.725637
Butler County,24.1,"31.676028,-86.661108",31.676028,-86.661108
Calhoun County,20.9,"33.770158,-85.80766",33.770158,-85.80766
Chambers County,23.7,"32.902805,-85.354965",32.902805,-85.354965
Cherokee County,23.8,"34.166532,-85.684578",34.166532,-85.684578
Chilton County,18.3,"32.944392,-86.661108",32.944392,-86.661108
Choctaw County,27.3,"32.071663,-88.246118",32.071663,-88.246118
Clarke County,26.3,"31.700246,-87.776333",31.700246,-87.776333
Clay County,18.7,"33.279527,-85.848624",33.279527,-85.848624
Cleburne County,17.2,"33.626171,-85.520024",33.626171,-85.520024
Coffee County,16.9,"31.475117,-86.012157",31.475117,-86.012157
Colbert County,18.7,"34.711757,-87.894245",34.711757,-87.894245
Conecuh County,27.9,"31.501571,-86.982429",31.501571,-86.982429
Coosa County,25.5,"32.889777,-86.219694",32.889777,-86.219694
Covington County,24.2,"31.306644,-86.499655",31.306644,-86.499655
Crenshaw County,18.2,"31.667187,-86.337676",31.667187,-86.337676
Cullman County,18.2,"34.2011537,-86.8220341",34.2011537,-86.8220341
Dale County,18.8,"31.46453,-85.684578",31.46453,-85.684578
Dallas County,35.7,"32.233214,-87.142289",32.233214,-87.142289
DeKalb County,20.3,"34.52114,-85.684578",34.52114,-85.684578
Elmore County,13.8,"32.564708,-86.012157",32.564708,-86.012157
Escambia County,25.5,"31.139473,-87.142289",31.139473,-87.142289
Etowah County,21,"34.045534,-86.05296",34.045534,-86.05296
Fayette County,22.5,"33.687139,-87.776333",33.687139,-87.776333
Franklin County,19.9,"34.396746,-87.618638",34.396746,-87.618638
Geneva County,24.4,"31.099046,-85.684578",31.099046,-85.684578
Greene County,35.1,"32.971811,-87.93348",32.971811,-87.93348
Hale County,28.5,"32.78591,-87.618638",32.78591,-87.618638
Henry County,18.7,"31.446938,-85.189405",31.446938,-85.189405
Houston County,17.5,"31.131869,-85.313622",31.131869,-85.313622
Jackson County,17.9,"34.709039,-86.012157",34.709039,-86.012157
Jefferson County,18.7,"33.491412,-86.982429",33.491412,-86.982429
Lamar County,22.1,"33.692365,-88.090076",33.692365,-88.090076
Lauderdale County,16.4,"34.884088,-87.658113",34.884088,-87.658113
Lawrence County,18,"34.567428,-87.301613",34.567428,-87.301613
Lee County,21.4,"32.58887,-85.396277",32.58887,-85.396277
