Provider Id,Provider Name,Provider City,Provider State,County,povertyrate,Weighted Poverty Rate(r=50),WtedCharge,Latitude,Longitude
10001,SOUTHEAST ALABAMA MEDICAL CENTER,DOTHAN,AL,houston,17.5,25.451741780773553,0.896843526,31.215884,-85.363008
10005,MARSHALL MEDICAL CENTER SOUTH,BOAZ,AL,marshall,19.1,18.575360083776214,0.52803197,34.22159,-86.160495
10006,ELIZA COFFEE MEMORIAL HOSPITAL,FLORENCE,AL,lauderdale,16.4,20.215694865354592,0.91379458,34.793845,-87.683155
10007,MIZELL MEMORIAL HOSPITAL,OPP,AL,covington,24.2,22.83099881749222,0.482177084,31.290555,-86.255508
10008,CRENSHAW COMMUNITY HOSPITAL,LUVERNE,AL,crenshaw,18.2,23.756425625068296,0.842069473,31.694486,-86.265302
10009,HARTSELLE MEDICAL CENTER,HARTSELLE,AL,morgan,16.8,17.64843147514976,1.503735696,34.446233,-86.93656
10010,MARSHALL MEDICAL CENTER NORTH,GUNTERSVILLE,AL,marshall,19.1,17.888915954960243,0.495993407,34.364816,-86.421557
10011,ST VINCENT'S EAST,BIRMINGHAM,AL,jefferson,18.7,18.423053705870746,0.741565194,33.596457,-86.66765
10012,DEKALB REGIONAL MEDICAL CENTER,FORT PAYNE,AL,de kalb,20.3,19.473233052322488,0.975722018,34.441975,-85.755014
10015,SOUTHWEST ALABAMA MEDICAL CENTER,THOMASVILLE,AL,clarke,26.3,30.304647562666478,0.303119615,31.930539,-87.738351
10016,SHELBY BAPTIST MEDICAL CENTER,ALABASTER,AL,shelby,8.1,18.91641546115229,1.119515405,33.252414,-86.813044
10019,HELEN KELLER MEMORIAL HOSPITAL,SHEFFIELD,AL,colbert,18.7,20.545655833375477,0.548455638,34.746482,-87.698911
10021,DALE MEDICAL CENTER,OZARK,AL,dale,18.8,24.55985451979443,0.407502455,31.451328,-85.632075
10022,CHEROKEE MEDICAL CENTER,CENTRE,AL,cherokee,23.8,19.524614749045185,0.777228289,34.162754,-85.65156
10023,BAPTIST MEDICAL CENTER SOUTH,MONTGOMERY,AL,montgomery,23.2,22.636397372688002,0.833631366,32.327725,-86.277672
10024,JACKSON HOSPITAL & CLINIC INC,MONTGOMERY,AL,montgomery,23.2,22.618748550446902,0.836264537,32.367083,-86.285349
10025,GEORGE H. LANIER MEMORIAL HOSPITAL,VALLEY,AL,chambers,23.7,21.039891272890486,0.392676076,32.823739,-85.17
10027,ELBA GENERAL HOSPITAL,ELBA,AL,coffee,16.9,22.74401646283365,0.301298927,31.429261,-86.076353
10029,EAST ALABAMA MEDICAL CENTER AND SNF,OPELIKA,AL,lee,21.4,21.866650192762037,0.402845061,32.640163,-85.403751
10032,WEDOWEE HOSPITAL,WEDOWEE,AL,randolph,22.1,21.05302532756324,0.657060165,33.316648,-85.487436
10033,UNIVERSITY OF ALABAMA HOSPITAL,BIRMINGHAM,AL,jefferson,18.7,18.536518799297426,1.036672366,33.505869,-86.80208
10034,COMMUNITY HOSPITAL INC,TALLASSEE,AL,elmore,13.8,23.096309935569995,0.374791686,32.534053,-85.912363
10035,CULLMAN REGIONAL MEDICAL CENTER,CULLMAN,AL,cullman,18.2,17.954253820694355,0.722534635,34.207587,-86.874853
10036,ANDALUSIA REGIONAL HOSPITAL,ANDALUSIA,AL,covington,24.2,21.73140514281743,0.686585797,31.296329,-86.497314
10038,STRINGFELLOW MEMORIAL HOSPITAL,ANNISTON,AL,calhoun,20.9,21.052287959124143,1.087404969,33.667688,-85.825046
10039,HUNTSVILLE HOSPITAL,HUNTSVILLE,AL,madison,13.8,16.49754292792627,0.997556983,34.721046,-86.581799
10040,GADSDEN REGIONAL MEDICAL CENTER,GADSDEN,AL,etowah,21,20.42430939244986,2.113226957,34.007793,-85.965875
10043,CHILTON MEDICAL CENTER,CLANTON,AL,chilton,18.3,20.525971601049378,0.385552612,32.852485,-86.623006
10044,MARION REGIONAL MEDICAL CENTER,HAMILTON,AL,marion,25.6,20.324971830467675,0.678471473,34.126768,-87.991458
10045,FAYETTE MEDICAL CENTER,FAYETTE,AL,fayette,22.5,21.88393694841931,0.689746714,33.707564,-87.823815
10046,RIVERVIEW REGIONAL MEDICAL CENTER,GADSDEN,AL,etowah,21,20.12238341299912,1.601219092,34.004265,-86.003393
10047,GEORGIANA HOSPITAL,GEORGIANA,AL,butler,24.1,26.629451609759247,0.262599681,31.636317,-86.742727
10049,MEDICAL CENTER ENTERPRISE,ENTERPRISE,AL,coffee,16.9,21.92448794795597,1.094852597,31.318647,-85.855114
10050,ST VINCENTS BLOUNT,ONEONTA,AL,blount,14.9,18.88689179203465,0.675317785,33.933303,-86.494995
10051,GREENE COUNTY HOSPITAL,EUTAW,AL,greene,35.1,29.800287377290793,0.240313512,32.842183,-87.890069
10052,LAKE MARTIN COMMUNITY HOSPITAL,DADEVILLE,AL,tallapoosa,18.8,22.09709643376548,0.239583957,32.820028,-85.741613
10054,PARKWAY MEDICAL CENTER,DECATUR,AL,morgan,16.8,17.132814544332668,1.319114586,34.575956,-87.016866
10055,FLOWERS HOSPITAL,DOTHAN,AL,houston,17.5,24.15653469620161,1.191005333,31.237907,-85.456757
10056,ST VINCENT'S BIRMINGHAM,BIRMINGHAM,AL,jefferson,18.7,18.535063676339234,0.654175264,33.507181,-86.788911
10058,BIBB MEDICAL CENTER,CENTREVILLE,AL,bibb,22.2,23.424489087403977,0.42423795,32.951183,-87.14802
10059,LAWRENCE MEDICAL CENTER,MOULTON,AL,lawrence,18,18.425419991078428,0.538092018,34.482897,-87.286024
10061,HIGHLANDS MEDICAL CENTER,SCOTTSBORO,AL,jackson,17.9,18.34185006561314,0.500429815,34.661726,-86.046642
10062,WIREGRASS MEDICAL CENTER,GENEVA,AL,geneva,24.4,20.637158098372847,0.336096938,31.048231,-85.889986
10065,RUSSELL HOSPITAL,ALEXANDER CITY,AL,tallapoosa,18.8,21.27776134295108,0.386847904,32.885894,-85.869112
10066,FLORALA MEMORIAL HOSPITAL,FLORALA,AL,covington,24.2,19.791098670434035,0.368554027,30.999801,-86.313391
10069,MEDICAL CENTER BARBOUR,EUFAULA,AL,barbour,29.5,28.07396079137352,0.540197533,31.8887,-85.1562
10073,CLAY COUNTY HOSPITAL,ASHLAND,AL,clay,18.7,20.67379234144561,0.41686847,33.277435,-85.822079
10078,NORTHEAST ALABAMA REGIONAL MED CENTER,ANNISTON,AL,calhoun,20.9,21.053194893103107,0.805614482,33.656395,-85.822835
10079,ATHENS-LIMESTONE HOSPITAL,ATHENS,AL,limestone,13.9,16.758764064124545,0.524287092,34.804261,-86.979177
10083,SOUTH BALDWIN REGIONAL MEDICAL CENTER,FOLEY,AL,baldwin,13.4,15.810723326607729,1.378815947,30.426094,-87.684308
10085,DECATUR GENERAL HOSPITAL,DECATUR,AL,morgan,16.8,17.126657210620884,0.340498415,34.590414,-86.972417
10086,NORTHWEST MEDICAL CENTER,WINFIELD,AL,marion,25.6,21.85209454139478,1.276614536,33.930952,-87.824744
10087,UNIV OF SOUTH ALABAMA MEDICAL CENTER,MOBILE,AL,mobile,19.7,18.28549344947008,0.424895862,30.707288,-88.098563
10089,WALKER BAPTIST MEDICAL CENTER,JASPER,AL,walker,22.1,18.88667044149742,0.917340908,33.841043,-87.236541
10090,PROVIDENCE HOSPITAL,MOBILE,AL,mobile,19.7,18.262977851618757,0.714355363,30.678282,-88.198552
10091,GROVE HILL MEMORIAL HOSPITAL,GROVE HILL,AL,clarke,26.3,27.662406510499608,0.383556205,31.694283,-87.776097
10092,D C H REGIONAL MEDICAL CENTER,TUSCALOOSA,AL,tuscaloosa,20.2,25.07568845745624,0.846134166,33.204795,-87.526696
10095,HALE COUNTY HOSPITAL,GREENSBORO,AL,hale,28.5,30.862215487057107,0.333577307,32.694756,-87.586735
10097,ELMORE COMMUNITY HOSPITAL,WETUMPKA,AL,elmore,13.8,22.53990719325147,0.2862647,32.551243,-86.190172
10099,D W MCMILLAN MEMORIAL HOSPITAL,BREWTON,AL,escambia,25.5,21.20374711989046,0.411090201,31.124975,-87.071267
10100,THOMAS HOSPITAL,FAIRHOPE,AL,baldwin,13.4,17.010912292561994,0.662714227,30.519993,-87.88864
10101,CITIZENS BAPTIST MEDICAL CENTER,TALLADEGA,AL,talladega,26.2,19.13534843080091,0.782708166,33.439779,-86.092135
10102,J PAUL JONES HOSPITAL,CAMDEN,AL,wilcox,39.9,29.901038861047063,0.25810429,31.997575,-87.299974
10103,BAPTIST MEDICAL CENTER-PRINCETON,BIRMINGHAM,AL,jefferson,18.7,18.542225168459424,1.275031949,33.498402,-86.847017
10104,TRINITY MEDICAL CENTER,BIRMINGHAM,AL,jefferson,18.7,18.53179128245307,1.525556388,33.516359,-86.748339
10108,PRATTVILLE BAPTIST HOSPITAL,PRATTVILLE,AL,autauga,14.9,22.972564668817057,0.848325124,32.464172,-86.451767
10109,PICKENS COUNTY MEDICAL CENTER,CARROLLTON,AL,pickens,26.5,28.15698241221273,0.524853705,33.275973,-88.091221
10110,BULLOCK COUNTY HOSPITAL,UNION SPRINGS,AL,bullock,32.8,23.36370964936885,0.620599351,32.146119,-85.713048
10112,BRYAN W WHITFIELD MEM HOSP INC,DEMOPOLIS,AL,marengo,24.6,32.78881724956215,0.358459842,32.503793,-87.837467
10113,MOBILE INFIRMARY,MOBILE,AL,mobile,19.7,18.277606938910623,0.734502502,30.696394,-88.079839
10114,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",BESSEMER,AL,jefferson,18.7,18.9917651724018,0.819158552,33.373157,-86.991679
10118,VAUGHAN REG MED CENTER PARKWAY CAMPUS,SELMA,AL,dallas,35.7,27.29154973486179,0.886272113,32.429449,-87.056043
10120,MONROE COUNTY HOSPITAL,MONROEVILLE,AL,monroe,28.7,28.693373120337945,0.517273606,31.49479,-87.320061
10125,LAKELAND COMMUNITY HOSPITAL,HALEYVILLE,AL,winston,19.8,19.851966479827656,0.549566128,34.241243,-87.590589
10126,TROY REGIONAL MEDICAL CENTER,TROY,AL,pike,25.6,24.380656092146474,0.689057931,31.78115,-85.944909
10128,JACKSON MEDICAL CENTER,JACKSON,AL,clarke,26.3,27.748238815878622,0.256739159,31.531195,-87.895053
10129,NORTH BALDWIN INFIRMARY,BAY MINETTE,AL,baldwin,13.4,18.349973306568785,0.527352123,30.903938,-87.785023
10130,ST VINCENT'S ST CLAIR,PELL CITY,AL,st clair,17.3,18.830911477946763,0.723583232,33.604313,-86.301816
10131,CRESTWOOD MEDICAL CENTER,HUNTSVILLE,AL,madison,13.8,16.499723299118248,1.36005865,34.693583,-86.572207
10138,HILL HOSPITAL OF SUMTER COUNTY,YORK,AL,sumter,39.1,29.945124713577144,0.271236579,32.491741,-88.296047
10139,BROOKWOOD MEDICAL CENTER,BIRMINGHAM,AL,jefferson,18.7,18.54510119808081,2.360970391,33.464237,-86.776409
10144,SPRINGHILL MEDICAL CENTER,MOBILE,AL,mobile,19.7,18.29059207933902,0.55439273,30.685234,-88.131711
10145,NORTHPORT MEDICAL CENTER,NORTHPORT,AL,tuscaloosa,20.2,25.069697405079133,0.842435198,33.23361,-87.571248
10146,JACKSONVILLE MEDICAL CENTER,JACKSONVILLE,AL,calhoun,20.9,21.023922152898482,0.93414525,33.784545,-85.762972
10148,EVERGREEN MEDICAL CENTER,EVERGREEN,AL,conecuh,27.9,25.031354434686424,0.342238928,31.430978,-86.940821
10149,BAPTIST MEDICAL CENTER EAST,MONTGOMERY,AL,montgomery,23.2,22.542081094251614,0.828275151,32.374525,-86.17075
10150,L V STABLER MEMORIAL HOSPITAL,GREENVILLE,AL,butler,24.1,26.21314765218004,1.36143028,31.829137,-86.646326
10152,INFIRMARY WEST,MOBILE,AL,mobile,19.7,18.176397224610234,0.838627518,30.619167,-88.172811
10157,SHOALS HOSPITAL,MUSCLE SHOALS,AL,colbert,18.7,20.54166965292133,0.930477697,34.744969,-87.675383
10158,RUSSELLVILLE HOSPITAL,RUSSELLVILLE,AL,franklin,19.9,18.959926508180523,0.717219489,34.510773,-87.718347
10164,COOSA VALLEY MEDICAL CENTER,SYLACAUGA,AL,talladega,26.2,18.63890640273859,0.977619845,33.164447,-86.255204
10168,JACK HUGHSTON MEMORIAL HOSPITAL,PHENIX CITY,AL,lee,21.4,23.326528777549754,0.675949102,32.508085,-85.008671
10169,ATMORE COMMUNITY HOSPITAL,ATMORE,AL,escambia,25.5,19.83937151336808,0.855042111,31.016625,-87.476349
20001,PROVIDENCE ALASKA MEDICAL CENTER,ANCHORAGE,AK,anchorage,8.5,8.5,1.322579062,60.949017,-149.170336
20006,MAT-SU REGIONAL MEDICAL CENTER,PALMER,AK,matanuska-susitna,11.6,8.5,1.345386273,61.56316,-149.257638
20008,BARTLETT REGIONAL HOSPITAL,JUNEAU,AK,juneau,7.5,7.5,0.844647855,58.328916,-134.465065
20012,FAIRBANKS MEMORIAL HOSPITAL,FAIRBANKS,AK,fairbanks north star,9.5,9.5,1.008100241,64.831157,-147.739947
20017,ALASKA REGIONAL HOSPITAL,ANCHORAGE,AK,anchorage,8.5,8.5,1.418571323,61.210404,-149.828634
20018,YUKON KUSKOKWIM DELTA REG HOSPITAL,BETHEL,AK,bethel,23.5,23.5,0.382877719,60.785128,-161.79471
20024,CENTRAL PENINSULA GENERAL HOSPITAL,SOLDOTNA,AK,kenai peninsula borough,10.6,10.6,1.009064395,60.493441,-151.078012
20026,ALASKA NATIVE MEDICAL CENTER,ANCHORAGE,AK,anchorage,8.5,8.5,0.731583009,61.182742,-149.800663
20027,MT EDGECUMBE HOSPITAL,SITKA,AK,sitka,8.4,8.4,0.546220194,57.05199,-135.355199
30001,MARYVALE HOSPITAL,PHOENIX,AZ,maricopa,17.4,17.4,1.03310677,33.50278,-112.170688
30002,BANNER GOOD SAMARITAN MEDICAL CENTER,PHOENIX,AZ,maricopa,17.4,17.4,1.138337683,33.46494,-112.057956
30006,TUCSON MEDICAL CENTER,TUCSON,AZ,pima,20.4,21.344502400252793,0.853900606,32.252903,-110.87808
30007,VERDE VALLEY MEDICAL CENTER,COTTONWOOD,AZ,yavapai,18.4,18.4,1.504011546,34.735776,-112.029256
30010,CARONDELET ST  MARYS HOSPITAL,TUCSON,AZ,pima,20.4,21.30209735015253,0.962598898,32.228315,-110.999589
30011,CARONDELET ST JOSEPHS HOSPITAL,TUCSON,AZ,pima,20.4,21.41190955608674,1.018967268,32.226567,-110.855335
30012,YAVAPAI REGIONAL MEDICAL CENTER,PRESCOTT,AZ,yavapai,18.4,18.4,0.866828349,34.55962,-112.481188
30013,YUMA REGIONAL MEDICAL CENTER,YUMA,AZ,yuma,22.3,22.3,0.92775681,32.682399,-114.634916
30014,JOHN C LINCOLN NORTH MOUNTAIN HOSPITAL,PHOENIX,AZ,maricopa,17.4,17.4,1.083088161,33.569459,-112.070877
30016,CASA GRANDE REGIONAL MEDICAL CENTER,CASA GRANDE,AZ,pinal,17.4,17.4,0.906775577,32.88074,-111.709745
30022,MARICOPA MEDICAL CENTER,PHOENIX,AZ,maricopa,17.4,17.4,1.287380645,33.457659,-112.026112
30023,FLAGSTAFF MEDICAL CENTER,FLAGSTAFF,AZ,coconino,21.6,21.6,1.32677789,35.20832,-111.643986
30024,ST JOSEPH'S HOSPITAL AND MEDICAL CENTER,PHOENIX,AZ,maricopa,17.4,17.4,1.304751199,33.481882,-112.07931
30030,PHOENIX BAPTIST HOSPITAL,PHOENIX,AZ,maricopa,17.4,17.4,0.950895019,33.524771,-112.102196
