Provider Id,Provider Name,Provider Street Address,Provider State,Provider Zip Code,"latitude,longitude",County,
10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,AL,36301,"31.215884,-85.363008",houston,
10005,MARSHALL MEDICAL CENTER SOUTH,2505 U S HIGHWAY 431 NORTH,AL,35957,"34.22159,-86.160495",marshall,
10006,ELIZA COFFEE MEMORIAL HOSPITAL,205 MARENGO STREET,AL,35631,"34.793845,-87.683155",lauderdale,
10007,MIZELL MEMORIAL HOSPITAL,702 N MAIN ST,AL,36467,"31.290555,-86.255508",covington,
10008,CRENSHAW COMMUNITY HOSPITAL,101 HOSPITAL CIRCLE,AL,36049,"31.694486,-86.265302",crenshaw,
10009,HARTSELLE MEDICAL CENTER,201 PINE STREET NORTHWEST,AL,35640,"34.446233,-86.93656",morgan,
10010,MARSHALL MEDICAL CENTER NORTH,8000 ALABAMA HIGHWAY 69,AL,35976,"34.364816,-86.421557",marshall,
10011,ST VINCENT'S EAST,50 MEDICAL PARK EAST DRIVE,AL,35235,"33.596457,-86.66765",jefferson,
10012,DEKALB REGIONAL MEDICAL CENTER,200 MED CENTER DRIVE,AL,35968,"34.441975,-85.755014",de kalb,
10015,SOUTHWEST ALABAMA MEDICAL CENTER,33700 HIGHWAY 43,AL,36784,"31.930539,-87.738351",clarke,
10016,SHELBY BAPTIST MEDICAL CENTER,1000 FIRST STREET NORTH,AL,35007,"33.252414,-86.813044",shelby,
10019,HELEN KELLER MEMORIAL HOSPITAL,1300 SOUTH MONTGOMERY AVENUE,AL,35660,"34.746482,-87.698911",colbert,
10021,DALE MEDICAL CENTER,126 HOSPITAL AVE,AL,36360,"31.451328,-85.632075",dale,
10022,CHEROKEE MEDICAL CENTER,400 NORTHWOOD DR,AL,35960,"34.162754,-85.65156",cherokee,
10023,BAPTIST MEDICAL CENTER SOUTH,2105 EAST SOUTH BOULEVARD,AL,36116,"32.327725,-86.277672",montgomery,
10024,JACKSON HOSPITAL & CLINIC INC,1725 PINE STREET,AL,36106,"32.367083,-86.285349",montgomery,
10025,GEORGE H. LANIER MEMORIAL HOSPITAL,4800 48TH ST,AL,36854,"32.823739,-85.17",chambers,
10027,ELBA GENERAL HOSPITAL,987 DRAYTON STREET,AL,36323,"31.429261,-86.076353",coffee,
10029,EAST ALABAMA MEDICAL CENTER AND SNF,2000 PEPPERELL PARKWAY,AL,36801,"32.640163,-85.403751",lee,
